Designator,Mid X,Mid Y,Rotation,Layer
U3,208.365,-208.43,180,top
U4_12,208.365,-143.86,180,top
U4_11,92.365,-67.86,180,top
U4_10,92.365,-219.86,180,top
U4_9,150.365,-143.86,180,top
U4_8,34.365,-67.86,180,top
U4_7,208.365,-67.86,180,top
U4_6,34.365,-143.86,180,top
U4_5,92.365,-143.86,180,top
U4_4,208.365,-219.86,180,top
U4_3,150.365,-67.86,180,top
U4_2,150.365,-219.86,180,top
U4,34.365,-219.86,180,top
